TrialID,BlockCount,CueOnStimIndices,CueOnStimLocations,TargetOnStimIndices,TargetOnStimLocations,WrongTargetOnStimIndices,WrongTargetOnStimLocations,Rule1StimIndices,Rule2StimIndices
RSM2_P1,0,"[19,20,21]","[[-2,0,0],[0,0,0],[2,0,0]]","[19,20,21]","[[-2.5,-2,0],[-2,-2,0],[-1.5,-2,0]]","[20,19,21]","[[1.5,2,0],[2,2,0],[2.5,2,0]]",[2],[2]
RSM2_P2,0,"[6,7,8]","[[-2,0,0],[0,0,0],[2,0,0]]","[6,6,8]","[[1.5,-2,0],[2,-2,0],[2.5,-2,0]]","[6,8,6]","[[-2.5,2,0],[-2,2,0],[-1.5,2,0]]",[1],[2]
RSM2_P3,0,"[4,5,6]","[[-2,0,0],[0,0,0],[2,0,0]]","[5,4,4]","[[1.5,0,0],[2,0,0],[2.5,0,0]]","[4,5,4]","[[-2.5,0,0],[-2,0,0],[-1.5,0,0]]",[3],[1]
RSM2_P4,0,"[11,12,13]","[[-2,0,0],[0,0,0],[2,0,0]]","[11,11,13]","[[-2.5,-2,0],[-2,-2,0],[-1.5,-2,0]]","[11,13,11]","[[1.5,2,0],[2,2,0],[2.5,2,0]]",[1],[2]
RSM2_P5,0,"[13,14,15]","[[-2,0,0],[0,0,0],[2,0,0]]","[13,14,15]","[[-0.5,-2,0],[0,-2,0],[0.5,-2,0]]","[14,13,15]","[[-0.5,2,0],[0,2,0],[0.5,2,0]]",[2],[2]
RSM2_P6,0,"[8,9,10]","[[-2,0,0],[0,0,0],[2,0,0]]","[8,9,10]","[[-2.5,0,0],[-2,0,0],[-1.5,0,0]]","[9,10,8]","[[1.5,0,0],[2,0,0],[2.5,0,0]]",[2],[2]
RSM2_P7,0,"[22,23,0]","[[-2,0,0],[0,0,0],[2,0,0]]","[22,22,0]","[[1.5,-2,0],[2,-2,0],[2.5,-2,0]]","[22,0,22]","[[-2.5,2,0],[-2,2,0],[-1.5,2,0]]",[1],[2]
RSM2_P8,0,"[16,17,18]","[[-2,0,0],[0,0,0],[2,0,0]]","[16,16,16]","[[-2.5,0,0],[-2,0,0],[-1.5,0,0]]","[16,17,16]","[[1.5,0,0],[2,0,0],[2.5,0,0]]",[1],[1]
RSM2_P9,0,"[6,7,8]","[[-2,0,0],[0,0,0],[2,0,0]]","[6,8,6]","[[1.5,-2,0],[2,-2,0],[2.5,-2,0]]","[6,6,8]","[[-2.5,2,0],[-2,2,0],[-1.5,2,0]]",[1],[3]
RSM2_P10,0,"[3,4,5]","[[-2,0,0],[0,0,0],[2,0,0]]","[4,3,5]","[[-2.5,-2,0],[-2,-2,0],[-1.5,-2,0]]","[4,5,3]","[[1.5,2,0],[2,2,0],[2.5,2,0]]",[3],[2]
RSM2_1,1,"[16,6,15]","[[-2,0,0],[0,0,0],[2,0,0]]","[16,15,16]","[[1.5,0,0],[2,0,0],[2.5,0,0]]","[15,16,16]","[[-2.5,0,0],[-2,0,0],[-1.5,0,0]]",[1],[3]
RSM2_2,1,"[21,13,22]","[[-2,0,0],[0,0,0],[2,0,0]]","[21,13,22]","[[-2.5,-2,0],[-2,-2,0],[-1.5,-2,0]]","[13,21,22]","[[1.5,2,0],[2,2,0],[2.5,2,0]]",[2],[2]
RSM2_3,1,"[14,13,1]","[[-2,0,0],[0,0,0],[2,0,0]]","[14,14,14]","[[-2.5,-2,0],[-2,-2,0],[-1.5,-2,0]]","[8,11,3]","[[1.5,2,0],[2,2,0],[2.5,2,0]]",[1],[1]
RSM2_4,1,"[7,2,20]","[[-2,0,0],[0,0,0],[2,0,0]]","[7,7,7]","[[1.5,-2,0],[2,-2,0],[2.5,-2,0]]","[11,4,19]","[[-2.5,2,0],[-2,2,0],[-1.5,2,0]]",[1],[1]
RSM2_5,1,"[8,9,14]","[[-2,0,0],[0,0,0],[2,0,0]]","[9,8,14]","[[-2.5,2,0],[-2,2,0],[-1.5,2,0]]","[8,9,14]","[[1.5,-2,0],[2,-2,0],[2.5,-2,0]]",[3],[2]
RSM2_6,1,"[3,5,11]","[[-2,0,0],[0,0,0],[2,0,0]]","[5,3,11]","[[1.5,-2,0],[2,-2,0],[2.5,-2,0]]","[5,11,3]","[[-2.5,2,0],[-2,2,0],[-1.5,2,0]]",[3],[2]
RSM2_7,1,"[0,9,22]","[[-2,0,0],[0,0,0],[2,0,0]]","[0,9,22]","[[-0.5,-2,0],[0,-2,0],[0.5,-2,0]]","[0,22,9]","[[-0.5,2,0],[0,2,0],[0.5,2,0]]",[2],[2]
RSM2_8,1,"[12,4,2]","[[-2,0,0],[0,0,0],[2,0,0]]","[4,2,12]","[[1.5,2,0],[2,2,0],[2.5,2,0]]","[4,12,2]","[[-2.5,-2,0],[-2,-2,0],[-1.5,-2,0]]",[3],[3]
RSM2_9,1,"[1,12,10]","[[-2,0,0],[0,0,0],[2,0,0]]","[12,10,1]","[[-2.5,-2,0],[-2,-2,0],[-1.5,-2,0]]","[10,1,12]","[[1.5,2,0],[2,2,0],[2.5,2,0]]",[3],[3]
RSM2_10,1,"[16,18,10]","[[-2,0,0],[0,0,0],[2,0,0]]","[18,16,10]","[[-0.5,2,0],[0,2,0],[0.5,2,0]]","[16,10,18]","[[-0.5,-2,0],[0,-2,0],[0.5,-2,0]]",[3],[2]
RSM2_11,1,"[11,4,19]","[[-2,0,0],[0,0,0],[2,0,0]]","[11,4,19]","[[1.5,0,0],[2,0,0],[2.5,0,0]]","[11,19,4]","[[-2.5,0,0],[-2,0,0],[-1.5,0,0]]",[2],[2]
RSM2_12,1,"[12,4,2]","[[-2,0,0],[0,0,0],[2,0,0]]","[4,12,2]","[[1.5,2,0],[2,2,0],[2.5,2,0]]","[4,2,12]","[[-2.5,-2,0],[-2,-2,0],[-1.5,-2,0]]",[3],[2]
RSM2_13,1,"[22,13,23]","[[-2,0,0],[0,0,0],[2,0,0]]","[22,22,22]","[[-2.5,0,0],[-2,0,0],[-1.5,0,0]]","[0,9,22]","[[1.5,0,0],[2,0,0],[2.5,0,0]]",[1],[1]
RSM2_14,1,"[1,12,10]","[[-2,0,0],[0,0,0],[2,0,0]]","[1,12,12]","[[-2.5,-2,0],[-2,-2,0],[-1.5,-2,0]]","[12,12,1]","[[1.5,2,0],[2,2,0],[2.5,2,0]]",[2],[1]
RSM2_15,1,"[22,13,23]","[[-2,0,0],[0,0,0],[2,0,0]]","[22,13,23]","[[-2.5,0,0],[-2,0,0],[-1.5,0,0]]","[22,23,13]","[[1.5,0,0],[2,0,0],[2.5,0,0]]",[2],[2]
RSM2_16,1,"[1,23,17]","[[-2,0,0],[0,0,0],[2,0,0]]","[1,1,17]","[[-0.5,-2,0],[0,-2,0],[0.5,-2,0]]","[1,17,1]","[[-0.5,2,0],[0,2,0],[0.5,2,0]]",[1],[2]
RSM2_17,1,"[3,5,11]","[[-2,0,0],[0,0,0],[2,0,0]]","[3,11,5]","[[1.5,-2,0],[2,-2,0],[2.5,-2,0]]","[3,5,11]","[[-2.5,2,0],[-2,2,0],[-1.5,2,0]]",[2],[3]
RSM2_18,1,"[21,14,18]","[[-2,0,0],[0,0,0],[2,0,0]]","[14,21,21]","[[1.5,0,0],[2,0,0],[2.5,0,0]]","[21,14,21]","[[-2.5,0,0],[-2,0,0],[-1.5,0,0]]",[3],[1]
RSM2_19,1,"[19,5,4]","[[-2,0,0],[0,0,0],[2,0,0]]","[19,4,5]","[[1.5,-2,0],[2,-2,0],[2.5,-2,0]]","[4,5,19]","[[-2.5,2,0],[-2,2,0],[-1.5,2,0]]",[2],[3]
RSM2_20,1,"[16,6,15]","[[-2,0,0],[0,0,0],[2,0,0]]","[6,15,16]","[[1.5,0,0],[2,0,0],[2.5,0,0]]","[15,16,6]","[[-2.5,0,0],[-2,0,0],[-1.5,0,0]]",[3],[3]
RSM2_21,1,"[7,2,20]","[[-2,0,0],[0,0,0],[2,0,0]]","[7,20,2]","[[1.5,-2,0],[2,-2,0],[2.5,-2,0]]","[20,7,2]","[[-2.5,2,0],[-2,2,0],[-1.5,2,0]]",[2],[3]
RSM2_22,1,"[7,19,15]","[[-2,0,0],[0,0,0],[2,0,0]]","[19,7,15]","[[1.5,2,0],[2,2,0],[2.5,2,0]]","[7,19,15]","[[-2.5,-2,0],[-2,-2,0],[-1.5,-2,0]]",[3],[2]
RSM2_23,1,"[11,4,19]","[[-2,0,0],[0,0,0],[2,0,0]]","[11,19,4]","[[1.5,0,0],[2,0,0],[2.5,0,0]]","[11,4,19]","[[-2.5,0,0],[-2,0,0],[-1.5,0,0]]",[2],[3]
RSM2_24,1,"[11,4,19]","[[-2,0,0],[0,0,0],[2,0,0]]","[11,11,19]","[[1.5,0,0],[2,0,0],[2.5,0,0]]","[11,19,11]","[[-2.5,0,0],[-2,0,0],[-1.5,0,0]]",[1],[2]
RSM2_25,1,"[16,18,10]","[[-2,0,0],[0,0,0],[2,0,0]]","[16,18,10]","[[-0.5,2,0],[0,2,0],[0.5,2,0]]","[18,10,16]","[[-0.5,-2,0],[0,-2,0],[0.5,-2,0]]",[2],[2]
RSM2_26,1,"[9,6,0]","[[-2,0,0],[0,0,0],[2,0,0]]","[9,9,0]","[[-2.5,2,0],[-2,2,0],[-1.5,2,0]]","[9,0,9]","[[1.5,-2,0],[2,-2,0],[2.5,-2,0]]",[1],[2]
RSM2_27,1,"[8,9,14]","[[-2,0,0],[0,0,0],[2,0,0]]","[8,14,8]","[[-2.5,2,0],[-2,2,0],[-1.5,2,0]]","[14,8,8]","[[1.5,-2,0],[2,-2,0],[2.5,-2,0]]",[1],[3]
RSM2_28,1,"[8,9,14]","[[-2,0,0],[0,0,0],[2,0,0]]","[8,8,8]","[[-2.5,2,0],[-2,2,0],[-1.5,2,0]]","[21,14,18]","[[1.5,-2,0],[2,-2,0],[2.5,-2,0]]",[1],[1]
RSM2_29,1,"[19,5,4]","[[-2,0,0],[0,0,0],[2,0,0]]","[5,19,4]","[[1.5,-2,0],[2,-2,0],[2.5,-2,0]]","[19,4,5]","[[-2.5,2,0],[-2,2,0],[-1.5,2,0]]",[3],[2]
RSM2_30,1,"[0,9,22]","[[-2,0,0],[0,0,0],[2,0,0]]","[9,0,0]","[[-0.5,-2,0],[0,-2,0],[0.5,-2,0]]","[0,9,0]","[[-0.5,2,0],[0,2,0],[0.5,2,0]]",[3],[1]
RSM2_31,1,"[11,4,19]","[[-2,0,0],[0,0,0],[2,0,0]]","[11,4,4]","[[1.5,0,0],[2,0,0],[2.5,0,0]]","[4,11,4]","[[-2.5,0,0],[-2,0,0],[-1.5,0,0]]",[2],[1]
RSM2_32,1,"[9,6,0]","[[-2,0,0],[0,0,0],[2,0,0]]","[6,9,9]","[[-2.5,2,0],[-2,2,0],[-1.5,2,0]]","[9,6,9]","[[1.5,-2,0],[2,-2,0],[2.5,-2,0]]",[3],[1]
RSM2_33,1,"[16,18,10]","[[-2,0,0],[0,0,0],[2,0,0]]","[16,16,10]","[[-0.5,2,0],[0,2,0],[0.5,2,0]]","[16,10,16]","[[-0.5,-2,0],[0,-2,0],[0.5,-2,0]]",[1],[2]
RSM2_34,1,"[16,18,10]","[[-2,0,0],[0,0,0],[2,0,0]]","[16,16,16]","[[-0.5,2,0],[0,2,0],[0.5,2,0]]","[20,6,0]","[[-0.5,-2,0],[0,-2,0],[0.5,-2,0]]",[1],[1]
RSM2_35,1,"[10,20,7]","[[-2,0,0],[0,0,0],[2,0,0]]","[10,20,7]","[[-2.5,2,0],[-2,2,0],[-1.5,2,0]]","[20,7,10]","[[1.5,-2,0],[2,-2,0],[2.5,-2,0]]",[2],[2]
RSM2_36,1,"[0,9,22]","[[-2,0,0],[0,0,0],[2,0,0]]","[0,0,0]","[[-0.5,-2,0],[0,-2,0],[0.5,-2,0]]","[21,14,18]","[[-0.5,2,0],[0,2,0],[0.5,2,0]]",[1],[1]
RSM2_37,1,"[1,12,10]","[[-2,0,0],[0,0,0],[2,0,0]]","[1,10,1]","[[-2.5,-2,0],[-2,-2,0],[-1.5,-2,0]]","[10,1,1]","[[1.5,2,0],[2,2,0],[2.5,2,0]]",[1],[3]
RSM2_38,1,"[22,13,23]","[[-2,0,0],[0,0,0],[2,0,0]]","[13,22,22]","[[-2.5,0,0],[-2,0,0],[-1.5,0,0]]","[22,13,22]","[[1.5,0,0],[2,0,0],[2.5,0,0]]",[3],[1]
RSM2_39,1,"[16,18,10]","[[-2,0,0],[0,0,0],[2,0,0]]","[16,18,18]","[[-0.5,2,0],[0,2,0],[0.5,2,0]]","[18,18,16]","[[-0.5,-2,0],[0,-2,0],[0.5,-2,0]]",[2],[1]
RSM2_40,1,"[10,20,7]","[[-2,0,0],[0,0,0],[2,0,0]]","[20,10,7]","[[-2.5,2,0],[-2,2,0],[-1.5,2,0]]","[10,7,20]","[[1.5,-2,0],[2,-2,0],[2.5,-2,0]]",[3],[2]
RSM2_41,1,"[7,2,20]","[[-2,0,0],[0,0,0],[2,0,0]]","[2,20,7]","[[1.5,-2,0],[2,-2,0],[2.5,-2,0]]","[20,2,7]","[[-2.5,2,0],[-2,2,0],[-1.5,2,0]]",[3],[3]
RSM2_42,1,"[7,2,20]","[[-2,0,0],[0,0,0],[2,0,0]]","[2,7,20]","[[1.5,-2,0],[2,-2,0],[2.5,-2,0]]","[7,2,20]","[[-2.5,2,0],[-2,2,0],[-1.5,2,0]]",[3],[2]
RSM2_43,1,"[21,13,22]","[[-2,0,0],[0,0,0],[2,0,0]]","[13,21,21]","[[-2.5,-2,0],[-2,-2,0],[-1.5,-2,0]]","[21,13,21]","[[1.5,2,0],[2,2,0],[2.5,2,0]]",[3],[1]
RSM2_44,1,"[1,12,10]","[[-2,0,0],[0,0,0],[2,0,0]]","[1,10,12]","[[-2.5,-2,0],[-2,-2,0],[-1.5,-2,0]]","[10,12,1]","[[1.5,2,0],[2,2,0],[2.5,2,0]]",[2],[3]
RSM2_45,1,"[7,19,15]","[[-2,0,0],[0,0,0],[2,0,0]]","[7,19,15]","[[1.5,2,0],[2,2,0],[2.5,2,0]]","[19,7,15]","[[-2.5,-2,0],[-2,-2,0],[-1.5,-2,0]]",[2],[2]
RSM2_46,1,"[21,12,17]","[[-2,0,0],[0,0,0],[2,0,0]]","[12,21,17]","[[1.5,2,0],[2,2,0],[2.5,2,0]]","[21,17,12]","[[-2.5,-2,0],[-2,-2,0],[-1.5,-2,0]]",[3],[2]
RSM2_47,1,"[8,9,14]","[[-2,0,0],[0,0,0],[2,0,0]]","[8,8,14]","[[-2.5,2,0],[-2,2,0],[-1.5,2,0]]","[8,14,8]","[[1.5,-2,0],[2,-2,0],[2.5,-2,0]]",[1],[2]
RSM2_48,1,"[12,4,2]","[[-2,0,0],[0,0,0],[2,0,0]]","[4,12,12]","[[1.5,2,0],[2,2,0],[2.5,2,0]]","[12,4,12]","[[-2.5,-2,0],[-2,-2,0],[-1.5,-2,0]]",[3],[1]
RSM2_49,1,"[7,2,20]","[[-2,0,0],[0,0,0],[2,0,0]]","[7,7,20]","[[1.5,-2,0],[2,-2,0],[2.5,-2,0]]","[7,20,7]","[[-2.5,2,0],[-2,2,0],[-1.5,2,0]]",[1],[2]
RSM2_50,1,"[21,12,17]","[[-2,0,0],[0,0,0],[2,0,0]]","[21,21,17]","[[1.5,2,0],[2,2,0],[2.5,2,0]]","[21,17,21]","[[-2.5,-2,0],[-2,-2,0],[-1.5,-2,0]]",[1],[2]
RSM2_51,1,"[7,19,15]","[[-2,0,0],[0,0,0],[2,0,0]]","[7,15,19]","[[1.5,2,0],[2,2,0],[2.5,2,0]]","[15,7,19]","[[-2.5,-2,0],[-2,-2,0],[-1.5,-2,0]]",[2],[3]
RSM2_52,1,"[0,9,22]","[[-2,0,0],[0,0,0],[2,0,0]]","[9,22,0]","[[-0.5,-2,0],[0,-2,0],[0.5,-2,0]]","[9,0,22]","[[-0.5,2,0],[0,2,0],[0.5,2,0]]",[3],[3]
RSM2_53,1,"[21,14,18]","[[-2,0,0],[0,0,0],[2,0,0]]","[21,18,21]","[[1.5,0,0],[2,0,0],[2.5,0,0]]","[18,21,21]","[[-2.5,0,0],[-2,0,0],[-1.5,0,0]]",[1],[3]
RSM2_54,1,"[0,9,22]","[[-2,0,0],[0,0,0],[2,0,0]]","[0,9,9]","[[-0.5,-2,0],[0,-2,0],[0.5,-2,0]]","[9,0,9]","[[-0.5,2,0],[0,2,0],[0.5,2,0]]",[2],[1]
RSM2_55,1,"[14,13,1]","[[-2,0,0],[0,0,0],[2,0,0]]","[14,13,1]","[[-2.5,-2,0],[-2,-2,0],[-1.5,-2,0]]","[14,1,13]","[[1.5,2,0],[2,2,0],[2.5,2,0]]",[2],[2]
RSM2_56,1,"[20,6,0]","[[-2,0,0],[0,0,0],[2,0,0]]","[6,20,0]","[[-0.5,2,0],[0,2,0],[0.5,2,0]]","[6,0,20]","[[-0.5,-2,0],[0,-2,0],[0.5,-2,0]]",[3],[2]
RSM2_57,1,"[8,11,3]","[[-2,0,0],[0,0,0],[2,0,0]]","[8,8,8]","[[-2.5,0,0],[-2,0,0],[-1.5,0,0]]","[21,13,22]","[[1.5,0,0],[2,0,0],[2.5,0,0]]",[1],[1]
RSM2_58,1,"[20,6,0]","[[-2,0,0],[0,0,0],[2,0,0]]","[20,0,6]","[[-0.5,2,0],[0,2,0],[0.5,2,0]]","[20,6,0]","[[-0.5,-2,0],[0,-2,0],[0.5,-2,0]]",[2],[3]
RSM2_59,1,"[18,5,23]","[[-2,0,0],[0,0,0],[2,0,0]]","[18,23,5]","[[-2.5,0,0],[-2,0,0],[-1.5,0,0]]","[23,5,18]","[[1.5,0,0],[2,0,0],[2.5,0,0]]",[2],[3]
RSM2_60,1,"[14,13,1]","[[-2,0,0],[0,0,0],[2,0,0]]","[14,13,13]","[[-2.5,-2,0],[-2,-2,0],[-1.5,-2,0]]","[13,14,13]","[[1.5,2,0],[2,2,0],[2.5,2,0]]",[2],[1]
RSM2_61,1,"[21,14,18]","[[-2,0,0],[0,0,0],[2,0,0]]","[21,14,14]","[[1.5,0,0],[2,0,0],[2.5,0,0]]","[14,21,14]","[[-2.5,0,0],[-2,0,0],[-1.5,0,0]]",[2],[1]
RSM2_62,1,"[8,11,3]","[[-2,0,0],[0,0,0],[2,0,0]]","[8,3,11]","[[-2.5,0,0],[-2,0,0],[-1.5,0,0]]","[3,8,11]","[[1.5,0,0],[2,0,0],[2.5,0,0]]",[2],[3]
RSM2_63,1,"[21,13,22]","[[-2,0,0],[0,0,0],[2,0,0]]","[13,22,21]","[[-2.5,-2,0],[-2,-2,0],[-1.5,-2,0]]","[22,13,21]","[[1.5,2,0],[2,2,0],[2.5,2,0]]",[3],[3]
RSM2_64,1,"[21,12,17]","[[-2,0,0],[0,0,0],[2,0,0]]","[21,21,21]","[[1.5,2,0],[2,2,0],[2.5,2,0]]","[22,13,23]","[[-2.5,-2,0],[-2,-2,0],[-1.5,-2,0]]",[1],[1]
RSM2_65,1,"[7,19,15]","[[-2,0,0],[0,0,0],[2,0,0]]","[19,15,7]","[[1.5,2,0],[2,2,0],[2.5,2,0]]","[15,19,7]","[[-2.5,-2,0],[-2,-2,0],[-1.5,-2,0]]",[3],[3]
RSM2_66,1,"[16,15,17]","[[-2,0,0],[0,0,0],[2,0,0]]","[15,16,17]","[[-0.5,2,0],[0,2,0],[0.5,2,0]]","[16,15,17]","[[-0.5,-2,0],[0,-2,0],[0.5,-2,0]]",[3],[2]
RSM2_67,1,"[21,13,22]","[[-2,0,0],[0,0,0],[2,0,0]]","[13,21,22]","[[-2.5,-2,0],[-2,-2,0],[-1.5,-2,0]]","[21,13,22]","[[1.5,2,0],[2,2,0],[2.5,2,0]]",[3],[2]
RSM2_68,1,"[3,8,2]","[[-2,0,0],[0,0,0],[2,0,0]]","[8,3,2]","[[-0.5,-2,0],[0,-2,0],[0.5,-2,0]]","[3,2,8]","[[-0.5,2,0],[0,2,0],[0.5,2,0]]",[3],[2]
RSM2_69,1,"[3,5,11]","[[-2,0,0],[0,0,0],[2,0,0]]","[3,3,3]","[[1.5,-2,0],[2,-2,0],[2.5,-2,0]]","[1,23,17]","[[-2.5,2,0],[-2,2,0],[-1.5,2,0]]",[1],[1]
RSM2_70,1,"[22,13,23]","[[-2,0,0],[0,0,0],[2,0,0]]","[13,22,23]","[[-2.5,0,0],[-2,0,0],[-1.5,0,0]]","[13,23,22]","[[1.5,0,0],[2,0,0],[2.5,0,0]]",[3],[2]
RSM2_71,1,"[10,20,7]","[[-2,0,0],[0,0,0],[2,0,0]]","[10,7,10]","[[-2.5,2,0],[-2,2,0],[-1.5,2,0]]","[7,10,10]","[[1.5,-2,0],[2,-2,0],[2.5,-2,0]]",[1],[3]
RSM2_72,1,"[8,9,14]","[[-2,0,0],[0,0,0],[2,0,0]]","[8,9,14]","[[-2.5,2,0],[-2,2,0],[-1.5,2,0]]","[9,8,14]","[[1.5,-2,0],[2,-2,0],[2.5,-2,0]]",[2],[2]
RSM2_73,1,"[1,12,10]","[[-2,0,0],[0,0,0],[2,0,0]]","[1,1,10]","[[-2.5,-2,0],[-2,-2,0],[-1.5,-2,0]]","[1,10,1]","[[1.5,2,0],[2,2,0],[2.5,2,0]]",[1],[2]
RSM2_74,1,"[21,13,22]","[[-2,0,0],[0,0,0],[2,0,0]]","[21,22,21]","[[-2.5,-2,0],[-2,-2,0],[-1.5,-2,0]]","[22,21,21]","[[1.5,2,0],[2,2,0],[2.5,2,0]]",[1],[3]
RSM2_75,1,"[16,15,17]","[[-2,0,0],[0,0,0],[2,0,0]]","[16,17,15]","[[-0.5,2,0],[0,2,0],[0.5,2,0]]","[17,16,15]","[[-0.5,-2,0],[0,-2,0],[0.5,-2,0]]",[2],[3]
RSM2_76,1,"[21,14,18]","[[-2,0,0],[0,0,0],[2,0,0]]","[14,18,21]","[[1.5,0,0],[2,0,0],[2.5,0,0]]","[18,14,21]","[[-2.5,0,0],[-2,0,0],[-1.5,0,0]]",[3],[3]
RSM2_77,1,"[19,5,4]","[[-2,0,0],[0,0,0],[2,0,0]]","[19,19,4]","[[1.5,-2,0],[2,-2,0],[2.5,-2,0]]","[19,4,19]","[[-2.5,2,0],[-2,2,0],[-1.5,2,0]]",[1],[2]
RSM2_78,1,"[21,14,18]","[[-2,0,0],[0,0,0],[2,0,0]]","[21,21,18]","[[1.5,0,0],[2,0,0],[2.5,0,0]]","[21,18,21]","[[-2.5,0,0],[-2,0,0],[-1.5,0,0]]",[1],[2]
